industry_id,event_date,event_title,event_summary,event_type,priority_rank
semiconductor,2026-04-08,设备龙头订单超预期,提升市场对产能扩张兑现的预期,event,1
semiconductor,2026-04-19,ETF资金净流入放大,中短线资金重新回流半导体赛道,event,2
innovative-medicine,2026-04-17,重点公司海外授权进展,增强创新药商业化预期,event,1
ai-infra,2026-04-18,板块成交创阶段新高,主题热度显著上升,event,1
cpo-optical-communication,2026-04-24,光模块与高速互联需求延续,CPO光通信仍需用订单交付和海外需求继续验证,event,1
chemical,2026-04-23,化工新材料需求改善,关注高端材料景气修复和价格传导,event,1
gaming,2026-04-24,游戏版号与新品周期共振,短期热度提升但需观察流水兑现,event,1
global-qdii,2026-04-25,海外科技资产维持高波动,重点跟踪美股趋势与汇率扰动,event,1
defense-military,2026-04-26,军工订单与改革预期升温,板块适合关注中期景气与估值修复,event,1
commercial-space,2026-04-26,商业航天催化持续增加,卫星互联网与火箭产业链热度提升,event,1
aerospace,2026-04-26,航天航空产业链关注度提升,重点观察订单兑现和主题拥挤度,event,1
memory-chip,2026-04-27,存储价格周期修复预期升温,芯片存储方向短期弹性增强,event,1
new-energy,2026-04-27,新能源板块处于修复观察期,估值较低但资金强度仍需验证,event,1
ev-battery,2026-04-27,动力电池产业链进入去库后观察期,关注价格企稳和出货改善,event,1
photovoltaic,2026-04-27,光伏仍有供给压力,低估值不等于立即修复,event,1
energy-storage,2026-04-28,储能招标与海外需求成为观察点,关注订单和盈利弹性,event,1
robotics,2026-04-28,机器人产业催化频繁,高热度下需要控制追高风险,event,1
low-altitude,2026-04-28,低空经济政策催化密集,短期强势但拥挤度风险同步上升,event,1
